date(float),date(yyyy-mm-dd),dN,dE,dU,sN,sE,sU
2014.94247,2014-12-10,-144.8280,205.1390,16.7470,0.8020,0.8370,3.4500
2014.94521,2014-12-11,-150.7230,205.4530,10.7410,0.8000,0.8500,3.4540
2014.94795,2014-12-12,-147.7450,202.0200,18.5580,0.7870,0.8260,3.3800
2014.95068,2014-12-13,-150.2860,205.2720,20.3280,0.7720,0.8070,3.2800
2014.95342,2014-12-14,-147.8200,203.7660,22.5630,0.7810,0.8070,3.3050
2014.95616,2014-12-15,-145.0740,205.2850,17.8400,0.7790,0.8190,3.3550
2014.95890,2014-12-16,-147.0020,206.8870,21.6360,0.8000,0.8280,3.3740
2014.96164,2014-12-17,-146.3460,206.4720,16.7460,0.7970,0.8210,3.3370
2014.96438,2014-12-18,-145.7210,204.4210,19.5550,0.7710,0.8030,3.2700
2014.96712,2014-12-19,-146.4010,206.8830,11.6470,0.7900,0.8180,3.3210
2014.96986,2014-12-20,-148.4390,205.7380,21.3020,0.7810,0.8160,3.3560
2014.97260,2014-12-21,-148.3900,205.7540,18.9720,0.7760,0.8020,3.2800
2014.97534,2014-12-22,-149.8270,207.4210,15.5830,0.7790,0.8060,3.3090
2014.97808,2014-12-23,-145.7910,203.2660,12.8260,0.7890,0.8260,3.3810
2014.98082,2014-12-24,-145.9810,205.6790,19.3300,0.7770,0.8100,3.3210
2014.98356,2014-12-25,-148.2440,206.5280,15.3600,0.8070,0.8140,3.4010
2014.98630,2014-12-26,-149.6500,207.5950,14.2100,0.7730,0.8020,3.2800
2014.98904,2014-12-27,-147.2420,205.4110,17.5510,0.7760,0.8100,3.2970
2014.99178,2014-12-28,-148.4350,206.6090,13.4960,0.7730,0.8060,3.2850
2014.99452,2014-12-29,-148.6810,206.1630,16.9220,0.7710,0.8050,3.2680
2014.99726,2014-12-30,-146.5760,205.3260,18.1940,0.7710,0.8020,3.2700
2015.00000,2014-12-31,-146.3200,206.3860,17.5920,0.7740,0.8020,3.2780
2015.00274,2015-01-01,-147.3720,207.2530,16.6500,0.7710,0.8000,3.2560
2015.00548,2015-01-02,-147.9090,206.5930,17.9300,0.7690,0.8040,3.2740
2015.00822,2015-01-03,-147.5120,205.2100,21.5520,0.7770,0.8080,3.2830
2015.01096,2015-01-04,-147.9190,205.9870,19.3110,0.7890,0.8210,3.3240
2015.01370,2015-01-05,-146.5450,203.0900,16.0760,0.7850,0.8020,3.3070
2015.01644,2015-01-06,-146.6200,205.3160,15.8950,0.7890,0.8140,3.3370
2015.01918,2015-01-07,-147.9980,204.9210,16.8320,0.7920,0.8090,3.3440
2015.02192,2015-01-08,-148.1260,205.2170,22.7590,0.7850,0.8090,3.3390
2015.02466,2015-01-09,-147.2280,205.4150,11.4860,0.8260,0.8300,3.4730
2015.02740,2015-01-10,-148.6310,206.2170,19.4840,0.7950,0.8120,3.3250
2015.03014,2015-01-11,-148.7740,207.1260,16.5090,0.7920,0.8140,3.3060
2015.03288,2015-01-12,-148.4060,206.3190,12.7510,0.7800,0.8060,3.3020
2015.03562,2015-01-13,-147.0400,205.5570,11.5030,0.8070,0.8330,3.3890
2015.03836,2015-01-14,-149.6780,204.4910,19.2230,0.7850,0.8140,3.2970
2015.04110,2015-01-15,-148.3880,206.5230,16.8810,0.8000,0.8150,3.3370
2015.04384,2015-01-16,-148.4620,205.6880,17.3170,0.7930,0.8110,3.3090
2015.04658,2015-01-17,-149.5160,205.5890,17.8880,0.7820,0.8090,3.2780
2015.04932,2015-01-18,-150.7710,204.5950,18.6210,0.7950,0.8100,3.3130
2015.05205,2015-01-19,-150.2110,205.3520,21.2090,0.7910,0.8340,3.3940
2015.05479,2015-01-20,-148.6590,207.9540,15.6080,0.7930,0.8170,3.3320
2015.05753,2015-01-21,-147.9310,206.3500,18.4700,0.7900,0.8230,3.3600
2015.06027,2015-01-22,-149.9280,208.4760,24.2160,0.7850,0.8140,3.2740
2015.06301,2015-01-23,-149.8620,207.7000,19.0100,0.7840,0.8160,3.2850
2015.06575,2015-01-24,-147.6530,206.7510,21.4600,0.7980,0.8520,3.3670
2015.06849,2015-01-25,-149.2230,207.1700,23.9660,0.7850,0.8140,3.2830
2015.07123,2015-01-26,-148.0590,204.1160,19.1280,0.7900,0.8220,3.3240
2015.07397,2015-01-27,-149.7850,207.0220,25.4750,0.7880,0.8220,3.3340
2015.07671,2015-01-28,-151.0490,207.6130,21.1050,0.7890,0.8200,3.3170
2015.07945,2015-01-29,-148.1340,208.0090,15.7790,0.7890,0.8240,3.3340
2015.08219,2015-01-30,-149.5400,206.0960,19.0280,0.8010,0.8310,3.3740
2015.08493,2015-01-31,-149.6200,208.7030,17.4880,0.7910,0.8190,3.3210
2015.08767,2015-02-01,-148.0200,207.4610,13.0430,0.7920,0.8200,3.2990
2015.09041,2015-02-02,-146.4030,206.4480,13.1110,0.7890,0.8210,3.2850
2015.09315,2015-02-03,-146.5810,205.9010,13.6720,0.7990,0.8340,3.3860
2015.09589,2015-02-04,-149.2640,207.5450,19.5780,0.7950,0.8280,3.3290
2015.09863,2015-02-05,-147.4210,210.7910,26.7640,0.7920,0.8250,3.3350
2015.10137,2015-02-06,-148.4230,210.8320,21.6110,0.8060,0.8510,3.3740
2015.10411,2015-02-07,-147.7280,210.0260,17.0980,0.8090,0.8400,3.4100
2015.10685,2015-02-08,-148.6160,209.3480,20.2530,0.7990,0.8350,3.3540
2015.10959,2015-02-09,-148.8120,209.1310,24.8170,0.7920,0.8310,3.3420
2015.11233,2015-02-10,-146.9260,212.2890,21.6000,0.8460,0.8760,3.5200
2015.11507,2015-02-11,-148.1880,212.4460,25.3700,0.8220,0.8480,3.5060
2015.11781,2015-02-12,-149.1020,209.1070,20.4450,0.7960,0.8310,3.3570
2015.12055,2015-02-13,-149.4120,209.3940,23.1420,0.7960,0.8300,3.3530
2015.12329,2015-02-14,-148.4120,208.3440,24.5230,0.8760,0.9070,3.7080
2015.12603,2015-02-15,-151.7080,208.3330,27.9270,0.8060,0.8450,3.4220
2015.12877,2015-02-16,-146.6430,210.1730,23.3760,0.8090,0.8340,3.3770
2015.13151,2015-02-17,-147.1100,209.5980,21.4470,0.8170,0.8470,3.4060
2015.13425,2015-02-18,-148.5030,209.3360,18.6400,0.7970,0.8220,3.3230
2015.13699,2015-02-19,-149.3710,209.9760,22.3550,0.8160,0.8340,3.3770
2015.13973,2015-02-20,-149.0660,208.3970,20.1980,0.8100,0.8350,3.3740
2015.14247,2015-02-21,-150.7190,210.8280,22.8770,0.8030,0.8380,3.3680
2015.14521,2015-02-22,-147.8070,210.6690,21.9890,0.8150,0.8540,3.4900
2015.14795,2015-02-23,-147.5010,210.2040,15.2370,0.8010,0.8350,3.3680
2015.15068,2015-02-24,-146.8050,211.1660,26.4530,0.8230,0.8670,3.5600
2015.15342,2015-02-25,-145.4890,209.1800,18.5960,0.8000,0.8330,3.3640
2015.15616,2015-02-26,-145.4730,206.2210,20.5920,0.8210,0.8390,3.4550
2015.15890,2015-02-27,-148.8970,207.9310,14.8270,0.8490,0.8490,3.5150
2015.16164,2015-02-28,-150.1070,211.8200,28.6730,0.8030,0.8350,3.3440
2015.16438,2015-03-01,-147.5170,212.9820,25.5040,0.7990,0.8310,3.3670
2015.16712,2015-03-02,-149.6880,208.8660,20.5750,0.8050,0.8250,3.3480
2015.16986,2015-03-03,-147.7170,209.8450,20.3100,0.8050,0.8290,3.3620
2015.17260,2015-03-04,-146.4230,210.7360,26.9540,0.8160,0.8410,3.4160
2015.17808,2015-03-06,-147.5230,205.8100,28.3280,0.8640,0.8770,3.6520
2015.18082,2015-03-07,-147.2610,213.4020,27.1980,0.7940,0.8190,3.3180
2015.18356,2015-03-08,-148.7120,214.3420,26.0060,0.8290,0.8540,3.5360
2015.18630,2015-03-09,-145.6660,209.3840,15.1760,0.8120,0.8280,3.3900
2015.19178,2015-03-11,-146.6360,206.2390,25.4450,0.8570,0.8410,3.4960
2015.19452,2015-03-12,-145.4900,209.0200,20.4560,0.8250,0.8470,3.4470
2015.19726,2015-03-13,-146.4820,211.7380,20.4820,0.8690,0.8610,3.5220
2015.20000,2015-03-14,-144.1720,210.7780,19.2660,0.8750,0.8890,3.6450
2015.20274,2015-03-15,-152.0500,211.5630,20.8040,0.8280,0.8520,3.4990
2015.20548,2015-03-16,-146.1960,209.2990,26.4880,0.8750,0.8600,3.6130
2015.20822,2015-03-17,-151.0640,209.9540,29.6370,0.8110,0.8450,3.4380
2015.21096,2015-03-18,-148.0510,206.7590,20.6680,0.8160,0.8180,3.3550
2015.21370,2015-03-19,-147.2030,209.7150,18.4660,0.7960,0.8160,3.3100
2015.21644,2015-03-20,-146.0890,210.0610,20.2380,0.8000,0.8510,3.4120
2015.21918,2015-03-21,-146.5910,210.5530,20.1650,0.8080,0.8140,3.3330
2015.22192,2015-03-22,-148.1270,211.4960,18.6800,0.7950,0.8150,3.3280
2015.22466,2015-03-23,-149.4690,211.9240,15.4370,0.8050,0.8090,3.3810
2015.22740,2015-03-24,-148.2120,211.1470,11.0080,0.8170,0.8310,3.4370
2015.23014,2015-03-25,-148.4940,210.7350,15.1480,0.8090,0.8240,3.4200
2015.23288,2015-03-26,-150.3270,210.0960,24.7360,0.8140,0.8220,3.4100
2015.23562,2015-03-27,-150.3750,209.8420,19.3490,0.8240,0.8450,3.4380
2015.23836,2015-03-28,-147.9920,210.6970,12.5600,0.8090,0.8350,3.3880
2015.24110,2015-03-29,-148.6510,209.6250,19.6180,0.8240,0.8640,3.4740
2015.24384,2015-03-30,-146.5980,209.7700,21.9710,0.8180,0.8590,3.4610
2015.24658,2015-03-31,-145.9090,213.8090,28.1700,0.8230,0.8700,3.4800
2015.24932,2015-04-01,-147.8430,211.4030,28.2560,0.8430,0.8500,3.4850
2015.25205,2015-04-02,-147.0210,209.0550,22.3150,0.8190,0.8370,3.4500
2015.25479,2015-04-03,-146.8500,209.8530,38.6270,0.8510,0.8460,3.5740
2015.25753,2015-04-04,-143.2170,210.1950,24.5040,0.8390,0.8420,3.5580
2015.26027,2015-04-05,-144.3710,210.1310,27.1590,0.8280,0.8350,3.4740
2015.26301,2015-04-06,-145.4430,211.0440,24.5250,0.9110,0.9120,3.8110
2015.26575,2015-04-07,-147.0860,208.5540,15.2020,0.8880,0.8750,3.6320
2015.26849,2015-04-08,-145.2380,210.3430,24.6790,0.8410,0.8350,3.5340
2015.27123,2015-04-09,-145.9750,209.6180,22.3010,0.8210,0.8060,3.3710
2015.27397,2015-04-10,-149.1460,209.3270,23.5770,0.8140,0.8140,3.3450
2015.27671,2015-04-11,-148.4760,207.0050,20.8140,0.8180,0.8200,3.3680
2015.27945,2015-04-12,-148.5010,210.3630,22.5060,0.8240,0.8180,3.4400
2015.28219,2015-04-13,-148.6780,212.6230,27.3850,0.8110,0.8160,3.4240
2015.28493,2015-04-14,-150.2510,210.4940,29.0060,0.8090,0.8160,3.3750
2015.28767,2015-04-15,-149.9220,212.8760,23.7240,0.8180,0.8350,3.3820
2015.29041,2015-04-16,-147.3740,210.1260,29.4110,0.8230,0.8570,3.4950
2015.29315,2015-04-17,-146.5100,212.3810,33.5710,0.8470,0.8470,3.5970
2015.29589,2015-04-18,-149.9770,212.4140,12.2170,0.8310,0.8490,3.6000
2015.29863,2015-04-19,-149.5720,211.1920,23.9390,0.8310,0.8380,3.5320
2015.30137,2015-04-20,-148.7840,210.9620,33.0430,0.8370,0.8580,3.6270
2015.30411,2015-04-21,-146.0840,212.3840,25.6830,0.8120,0.8250,3.3300
2015.30685,2015-04-22,-146.0320,213.0610,22.4820,0.8000,0.8150,3.3180
2015.30959,2015-04-23,-146.4110,212.8230,24.1750,0.7940,0.8060,3.3580
2015.31233,2015-04-24,-147.3270,211.7430,21.0630,0.7840,0.8030,3.2830
2015.31507,2015-04-25,-149.7510,213.2140,23.7140,0.8160,0.8280,3.4700
2015.31781,2015-04-26,-150.3480,212.8110,25.0360,0.7920,0.7890,3.2620
2015.32055,2015-04-27,-148.3700,211.4330,24.4510,0.8000,0.7980,3.3580
2015.32329,2015-04-28,-147.1830,211.9410,26.4670,0.7820,0.7940,3.2800
2015.32603,2015-04-29,-144.5560,211.4050,21.8320,0.8160,0.8220,3.4400
2015.32877,2015-04-30,-148.0690,212.0310,28.0300,0.8190,0.8120,3.4830
2015.33151,2015-05-01,-150.8190,214.3210,28.3950,0.8020,0.7950,3.4220
2015.33425,2015-05-02,-151.4370,211.5410,20.9570,0.8030,0.8350,3.5140
2015.33699,2015-05-03,-149.2030,213.9540,19.4460,0.7980,0.8120,3.4010
2015.33973,2015-05-04,-151.4420,214.3380,19.6360,0.8240,0.8230,3.4390
2015.34247,2015-05-05,-149.7260,214.5010,28.7570,0.8000,0.8110,3.3920
2015.34521,2015-05-06,-149.0220,213.3750,23.1470,0.7910,0.8070,3.3630
2015.34795,2015-05-07,-151.4980,212.1730,23.0030,0.7810,0.7970,3.3320
2015.35068,2015-05-08,-150.6970,213.3480,22.7530,0.8290,0.8400,3.5350
2015.35342,2015-05-09,-150.7600,213.2550,22.5300,0.8180,0.8420,3.5490
2015.35616,2015-05-10,-149.5900,213.3150,18.4600,0.8180,0.8510,3.5730
2015.35890,2015-05-11,-150.2490,212.8530,28.7420,0.8110,0.8250,3.5120
2015.36164,2015-05-12,-147.9360,210.5640,23.6660,0.8220,0.8400,3.5320
2015.36438,2015-05-13,-147.0680,213.0410,31.3890,0.8090,0.8410,3.5180
2015.36712,2015-05-14,-148.9570,216.9860,27.3630,0.8050,0.8160,3.4940
2015.36986,2015-05-15,-148.2570,215.3170,25.5710,0.8010,0.8200,3.4300
2015.37260,2015-05-16,-151.4780,213.2710,24.5640,0.8100,0.8340,3.5480
2015.37534,2015-05-17,-147.0720,216.1680,26.8360,0.7930,0.8110,3.3570
2015.37808,2015-05-18,-145.7830,212.8050,27.7410,0.8090,0.8190,3.4630
2015.38082,2015-05-19,-149.3720,213.0200,24.2160,0.7950,0.8280,3.4530
2015.38356,2015-05-20,-149.7940,212.6340,19.0010,0.7800,0.7820,3.2680
2015.38630,2015-05-21,-151.8690,211.6700,22.6490,0.7870,0.7990,3.3510
2015.38904,2015-05-22,-149.2700,213.4880,24.9450,0.7780,0.7860,3.2810
2015.39178,2015-05-23,-152.0070,211.7100,22.2300,0.7800,0.7840,3.2780
2015.39452,2015-05-24,-151.4670,215.6390,23.7710,0.7770,0.7960,3.2790
2015.39726,2015-05-25,-149.3270,213.3920,26.1890,0.8030,0.8020,3.4130
2015.40000,2015-05-26,-150.2920,212.6640,22.7890,0.7890,0.7880,3.3550
2015.40274,2015-05-27,-149.7400,213.8980,17.6230,0.7920,0.8000,3.3600
2015.40548,2015-05-28,-150.1980,212.8210,11.0790,0.7860,0.8040,3.3480
2015.40822,2015-05-29,-149.5870,213.6620,14.8890,0.7780,0.7780,3.2550
2015.41096,2015-05-30,-149.2390,211.2430,15.8820,0.7900,0.8090,3.3790
2015.41370,2015-05-31,-148.6970,215.9540,28.0090,0.7940,0.7870,3.3330
2015.41644,2015-06-01,-150.1960,213.1760,14.6370,0.7810,0.7840,3.2910
2015.41918,2015-06-02,-149.7150,213.8930,21.0620,0.8130,0.8200,3.4930
2015.42192,2015-06-03,-152.0610,214.3840,22.5920,0.7980,0.8140,3.4420
2015.42466,2015-06-04,-148.7190,211.1960,23.3640,0.8020,0.8150,3.4340
2015.42740,2015-06-05,-150.4830,213.1110,19.4640,0.8220,0.8490,3.4880
2015.43014,2015-06-06,-152.6940,214.6250,22.9740,0.7860,0.7900,3.3040
2015.43288,2015-06-07,-157.7430,211.8960,31.2450,0.8140,0.8220,3.4640
2015.43562,2015-06-08,-152.2890,213.3810,22.9560,0.7980,0.8170,3.4640
2015.43836,2015-06-09,-151.2870,212.6450,17.5730,0.7950,0.8210,3.4390
2015.44110,2015-06-10,-149.3380,213.3900,22.9410,0.7830,0.8010,3.3310
2015.44384,2015-06-11,-152.7150,213.0830,17.0640,0.8390,0.8720,3.5320
2015.44658,2015-06-12,-152.8800,214.8110,16.1780,0.7890,0.8110,3.3560
2015.44932,2015-06-13,-152.3070,212.8870,28.2950,0.8060,0.8190,3.4820
2015.45205,2015-06-14,-155.4310,214.8490,20.8120,0.8000,0.8210,3.4520
2015.45479,2015-06-15,-153.6210,212.3950,17.4730,0.8260,0.8060,3.5280
2015.45753,2015-06-16,-152.1540,214.9670,24.3740,0.8030,0.8350,3.4920
2015.46027,2015-06-17,-156.2780,212.6670,30.2270,0.8480,0.8280,3.6310
2015.46301,2015-06-18,-152.2260,214.1030,23.0250,0.8060,0.8160,3.4790
2015.46575,2015-06-19,-150.4150,215.6700,25.0060,0.8330,0.8660,3.7260
2015.46849,2015-06-20,-150.5380,210.8330,21.0890,0.8340,0.8700,3.7220
2015.47123,2015-06-21,-157.1830,218.9620,19.0810,0.8110,0.8610,3.6140
2015.47397,2015-06-22,-151.9630,214.2780,9.4750,0.7870,0.8050,3.3380
2015.47671,2015-06-23,-153.0510,211.4120,18.2000,0.8180,0.8460,3.5020
2015.47945,2015-06-24,-152.0300,216.1930,22.6880,0.8340,0.8690,3.5400
2015.48219,2015-06-25,-152.5130,217.5470,19.9950,0.7930,0.8260,3.3730
2015.48493,2015-06-26,-152.5580,215.6790,24.4590,0.8070,0.8360,3.4480
2015.48767,2015-06-27,-153.7370,212.2730,18.6240,0.7920,0.8220,3.4380
2015.49041,2015-06-28,-151.0470,212.6780,8.5910,0.8020,0.8260,3.4580
2015.49315,2015-06-29,-151.6400,214.5910,30.4680,0.8060,0.8370,3.4750
2015.49589,2015-06-30,-149.5770,214.0180,24.8400,0.8090,0.8390,3.4530
2015.49863,2015-07-01,-152.7730,214.2520,25.0320,0.7960,0.8320,3.4640
2015.50137,2015-07-02,-151.4990,214.1270,24.0670,0.7950,0.8440,3.5070
2015.50411,2015-07-03,-151.9400,214.0250,25.2400,0.8050,0.8090,3.4710
2015.50685,2015-07-04,-151.5460,213.7870,16.3860,0.8290,0.8630,3.5920
2015.50959,2015-07-05,-152.9230,214.4000,20.5430,0.8030,0.8280,3.4070
2015.51233,2015-07-06,-152.8390,214.0440,17.0630,0.7930,0.8090,3.3320
2015.51507,2015-07-07,-152.0010,216.4930,16.5210,0.8110,0.8490,3.5480
2015.51781,2015-07-08,-154.7060,212.5800,21.1880,0.8250,0.8630,3.6440
2015.52055,2015-07-09,-154.6710,214.0390,26.6890,0.8300,0.8650,3.6690
2015.52329,2015-07-10,-151.3800,214.6140,31.2130,0.8460,0.8560,3.6370
2015.52603,2015-07-11,-156.3090,217.9790,28.2500,0.8230,0.8160,3.4770
2015.52877,2015-07-12,-146.7850,213.7880,24.8410,1.3200,1.4000,5.5880
2015.53151,2015-07-13,-152.3360,212.4890,19.0990,0.9240,0.9620,4.0510
2015.53425,2015-07-14,-154.0470,213.2330,7.5170,0.8470,0.8620,3.6860
2015.53699,2015-07-15,-154.5890,215.3020,12.2810,0.8130,0.8330,3.4870
2015.53973,2015-07-16,-153.1280,213.7580,14.8060,0.7950,0.8190,3.4060
2015.54247,2015-07-17,-153.0100,213.1840,6.3710,0.8140,0.8290,3.4840
2015.54521,2015-07-18,-153.1780,214.7700,11.5790,0.8210,0.8340,3.5440
2015.54795,2015-07-19,-153.6770,214.6020,14.2630,0.8000,0.8280,3.4650
2015.55068,2015-07-20,-152.6130,214.1620,16.1680,0.9110,0.9450,3.9850
2015.55342,2015-07-21,-156.2160,217.1490,20.4690,0.9740,1.0070,4.1250
2015.55616,2015-07-22,-152.5200,218.7680,8.2660,1.0170,1.0380,4.3850
2015.55890,2015-07-23,-155.4120,215.2990,17.4350,0.9160,0.9360,3.9650
2015.56164,2015-07-24,-154.3520,216.6740,18.2760,0.9290,0.9570,4.1330
2015.56438,2015-07-25,-149.2270,215.9810,28.4580,0.9920,1.0380,4.3200
2015.56712,2015-07-26,-153.4210,214.6600,12.3820,1.0480,1.0560,4.4780
2015.56986,2015-07-27,-154.1480,215.8220,10.4300,0.8670,0.8920,3.8010
2015.57260,2015-07-28,-154.2630,216.3710,13.3070,0.9050,0.9150,3.9670
2015.57534,2015-07-29,-154.1710,214.6370,13.8020,0.8330,0.8370,3.6440
2015.57808,2015-07-30,-154.7700,217.9080,7.7500,0.9300,0.9710,4.1440
2015.58082,2015-07-31,-153.8960,217.2430,2.0680,0.9210,0.9260,3.9560
2015.58356,2015-08-01,-154.1310,214.0670,13.7420,0.8930,0.9320,4.0120
2015.58630,2015-08-02,-153.0650,216.3600,12.7160,0.9480,0.9770,4.1060
2015.58904,2015-08-03,-152.7810,215.4690,12.4600,0.8640,0.8940,3.7900
2015.59178,2015-08-04,-151.6520,220.7010,8.1450,0.9570,1.0090,4.3080
2015.59452,2015-08-05,-154.1520,214.5830,12.6230,0.8970,0.9750,4.1010
2015.59726,2015-08-06,-154.7660,211.8800,30.6240,1.0070,1.0210,4.4400
2015.63288,2015-08-19,-154.7660,213.3000,8.5310,0.9150,0.9070,4.0370
2015.63562,2015-08-20,-154.1560,215.5190,21.6570,0.9170,0.9370,4.0420
2015.63836,2015-08-21,-156.0480,217.5550,18.6150,1.0050,0.9820,4.3570
2015.64110,2015-08-22,-162.0150,214.0810,34.5320,1.0320,1.0230,4.5730
2015.64384,2015-08-23,-156.9090,213.9470,22.1400,0.9520,0.9300,4.1480
2015.64658,2015-08-24,-155.4250,214.9470,11.0930,0.8790,0.8940,3.8680
2015.64932,2015-08-25,-161.3040,215.9620,7.1050,1.0040,0.9950,4.2900
2015.65205,2015-08-26,-157.6010,214.5260,9.6040,0.8790,0.8930,3.7750
2015.65479,2015-08-27,-157.6520,214.8530,11.2100,0.8420,0.8430,3.5630
2015.65753,2015-08-28,-157.4070,216.9530,10.5250,0.9000,0.9010,3.8780
2015.66027,2015-08-29,-154.8000,216.6010,15.1240,0.9480,0.9640,4.1530
2015.66301,2015-08-30,-156.7990,217.5570,17.1740,0.9270,0.9240,3.9370
2015.66575,2015-08-31,-156.7360,217.7430,11.3550,0.8400,0.8620,3.6980
2015.66849,2015-09-01,-156.3310,215.8970,9.8270,0.8630,0.8950,3.6540
2015.67123,2015-09-02,-155.8420,214.7640,8.7460,0.8590,0.9020,3.8030
2015.67397,2015-09-03,-159.8130,218.2740,10.1620,0.9060,0.9140,3.8980
2015.67671,2015-09-04,-155.1480,216.6160,13.1410,0.8420,0.8520,3.7060
2015.67945,2015-09-05,-156.0090,215.8240,16.5720,0.8310,0.8380,3.6560
2015.68219,2015-09-06,-154.7630,214.2120,7.6580,0.8690,0.9150,3.8970
2015.68493,2015-09-07,-154.1460,216.9230,7.8480,0.8250,0.8530,3.6720
2015.68767,2015-09-08,-155.1920,214.2270,13.9660,0.8490,0.8570,3.6990
2015.69041,2015-09-09,-153.9110,216.4730,15.5860,0.8580,0.8560,3.7240
2015.69315,2015-09-10,-158.0540,216.4540,8.5600,0.8450,0.8570,3.6640
2015.69589,2015-09-11,-156.6620,217.0090,2.4110,0.8610,0.8840,3.7750
2015.69863,2015-09-12,-155.0210,214.0860,12.3040,0.8400,0.8510,3.6610
2015.70137,2015-09-13,-156.5060,218.1560,17.9620,0.8540,0.8690,3.7780
2015.70411,2015-09-14,-157.2550,215.7980,12.9270,0.8670,0.8730,3.7630
2015.70685,2015-09-15,-154.3300,217.2210,5.6660,0.8280,0.8350,3.6190
2015.70959,2015-09-16,-155.9250,217.3670,10.7930,0.8790,0.8810,3.8650
2015.71233,2015-09-17,-155.2260,215.8620,7.1440,0.8840,0.8890,3.6860
2015.71507,2015-09-18,-155.6040,215.2230,12.4050,0.8430,0.8490,3.6500
2015.71781,2015-09-19,-157.2920,217.4830,6.1120,0.8220,0.8140,3.5170
2015.72055,2015-09-20,-156.8210,214.7290,7.7310,0.8190,0.8150,3.5100
2015.72329,2015-09-21,-157.3290,217.3750,10.2060,0.8200,0.8230,3.5530
2015.72603,2015-09-22,-155.0460,216.7000,18.0980,0.8210,0.8220,3.5560
2015.72877,2015-09-23,-156.6500,216.3820,8.7420,0.8410,0.8320,3.5770
2015.73151,2015-09-24,-153.5590,215.3820,15.2010,0.8550,0.8490,3.6950
2015.73425,2015-09-25,-157.0980,218.6220,16.3680,0.8770,0.8780,3.8090
2015.73699,2015-09-26,-157.3130,215.0550,14.5580,0.8530,0.8660,3.7090
2015.73973,2015-09-27,-159.0610,218.7790,27.1480,0.9270,0.9180,4.0560
2015.74247,2015-09-28,-155.5170,214.2840,10.8490,0.9610,0.9940,4.3640
2015.74521,2015-09-29,-158.4530,219.0110,30.5130,0.8670,0.8680,3.7440
2015.74795,2015-09-30,-155.1760,217.9150,15.2830,0.9170,0.9010,3.8510
2015.75068,2015-10-01,-158.9340,220.1580,17.8920,0.8930,0.9010,3.9110
2015.75342,2015-10-02,-158.3340,216.7390,11.9400,0.8490,0.8360,3.5920
2015.75616,2015-10-03,-158.5270,215.2130,17.9810,0.9020,0.8900,3.8960
2015.75890,2015-10-04,-155.9410,217.3070,13.3060,0.8450,0.8490,3.6200
2015.76164,2015-10-05,-154.7110,219.7190,6.0560,0.8750,0.9010,3.9730
2015.76438,2015-10-06,-158.3380,216.3560,7.8900,0.8930,0.8910,3.9170
2015.76712,2015-10-07,-156.4890,216.3300,14.9760,0.8850,0.8700,3.7690
2015.76986,2015-10-08,-157.7940,216.7140,8.5890,0.9000,0.8800,3.9020
2015.77260,2015-10-09,-154.8300,217.4580,13.5440,0.8640,0.8530,3.7430
2015.77534,2015-10-10,-156.6140,215.9860,11.1970,0.8500,0.8240,3.5970
2015.77808,2015-10-11,-157.8780,218.6000,13.2290,0.8280,0.8160,3.5590
2015.78082,2015-10-12,-158.1110,217.1400,8.8400,0.8200,0.8070,3.4510
2015.78356,2015-10-13,-157.1260,219.8090,13.2750,0.8440,0.8310,3.5790
2015.78630,2015-10-14,-157.4820,217.6370,8.1220,0.9320,0.8860,3.9580
2015.78904,2015-10-15,-155.9250,219.8690,1.1040,0.8310,0.8380,3.6400
2015.79178,2015-10-16,-157.8210,216.9050,5.1640,0.8780,0.8980,3.8500
2015.79452,2015-10-17,-156.1020,218.0730,1.0030,0.8560,0.8650,3.7350
2015.79726,2015-10-18,-156.7990,219.2620,11.0630,0.8750,0.8560,3.7260
2015.80000,2015-10-19,-156.7940,218.4910,17.7480,0.9980,0.9320,4.1750
2015.80274,2015-10-20,-157.5160,221.5850,21.5230,0.9340,0.9090,3.9390
2015.80548,2015-10-21,-154.6110,219.7400,6.3160,0.8830,0.8570,3.7780
2015.80822,2015-10-22,-155.9160,215.6550,11.8490,0.8980,0.8550,3.7970
2015.81096,2015-10-23,-156.6670,218.6330,11.4110,0.8340,0.8130,3.5840
2015.81370,2015-10-24,-156.7310,219.2230,18.1240,0.8720,0.8520,3.7350
2015.81644,2015-10-25,-157.2210,217.2210,4.7550,0.8820,0.8510,3.7220
2015.81918,2015-10-26,-157.9540,217.1690,12.3940,0.9190,0.8700,3.8140
2015.82192,2015-10-27,-155.5120,219.9130,12.6050,0.8180,0.8010,3.4900
2015.82466,2015-10-28,-157.6300,217.5120,9.4280,0.8250,0.8130,3.5380
2015.82740,2015-10-29,-154.4750,219.6170,5.3420,0.8510,0.8230,3.6310
2015.83288,2015-10-31,-158.8240,217.5480,19.0630,1.0440,1.0170,4.3940
2015.83562,2015-11-01,-157.4770,218.9710,13.7910,0.8500,0.8150,3.5690
2015.83836,2015-11-02,-159.8020,220.6840,15.4800,0.8710,0.8420,3.7130
2015.84110,2015-11-03,-161.5450,221.9300,16.0300,0.8560,0.8310,3.6180
2015.84384,2015-11-04,-158.6120,221.3630,21.9820,0.8550,0.8300,3.6220
2015.84658,2015-11-05,-156.7460,222.4170,19.4180,0.8710,0.8770,3.7830
2015.84932,2015-11-06,-157.0990,219.8180,16.0170,0.8640,0.8320,3.5670
